epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2395.72,1.64539,1.22047,0.00998,0.87325,0.83169,0.90194,0.59552,1.42818,0.86677,0.0102,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2467.79,1.65456,1.22842,0.00994,0.89489,0.82993,0.91207,0.64428,1.37065,0.78159,0.00953,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2541.25,1.63834,1.19086,0.00997,0.85831,0.82651,0.90953,0.63973,1.40419,0.76571,0.01,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2615.48,1.63046,1.1975,0.00974,0.89462,0.81953,0.90581,0.57741,1.42339,0.80704,0.01014,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2689.42,1.6236,1.18694,0.00965,0.90582,0.83168,0.91678,0.62432,1.37363,0.74063,0.00966,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2766.32,1.62269,1.18665,0.00964,0.89113,0.83378,0.91353,0.642,1.40935,0.76469,0.00985,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2842.23,1.61384,1.18802,0.00977,0.87872,0.86044,0.92122,0.65165,1.37912,0.71665,0.00961,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2917.85,1.61021,1.14161,0.0095,0.90551,0.82853,0.91901,0.60581,1.39819,0.73351,0.01004,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2992.48,1.63024,1.18769,0.00966,0.84663,0.82776,0.91191,0.63083,1.34004,0.74451,0.00924,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3067.71,1.60529,1.17428,0.00962,0.90965,0.8373,0.92122,0.62173,1.37023,0.71772,0.00962,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3142.61,1.59974,1.17178,0.00957,0.84505,0.87702,0.91622,0.63609,1.3775,0.73878,0.00972,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3214.57,1.60412,1.14959,0.00958,0.91318,0.8534,0.9232,0.61543,1.35422,0.72921,0.00948,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3287.98,1.59574,1.15513,0.0096,0.86933,0.83995,0.92317,0.62853,1.36129,0.7066,0.0094,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3362.61,1.60072,1.15892,0.00951,0.90444,0.83424,0.91833,0.66362,1.32559,0.71731,0.00881,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3440.79,1.58385,1.14502,0.00939,0.89529,0.8556,0.92902,0.5875,1.34381,0.7115,0.00952,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
